Link,Comment,Weakness Category,Security Weakness
https://stackoverflow.com/a/509297/5749570,But there's no way to collapse to an empty set starting from the end (like x[:0] does when starting from the beginning)|| so you have to special-case small arrays. :/ ,Flaw,No
https://stackoverflow.com/a/509297/5749570,@aguadopd You are absolutely right. The solution is to have the indices shifted to the right|| centered just below the characters|| and notice that the stop is always excluded. See another response just below. ,Not A Weakness,No
https://stackoverflow.com/a/509297/5749570,Addendum to my comment: see my answer with diagrams below: stackoverflow.com/a/56332104/2343869,Not A Weakness,No
https://stackoverflow.com/a/240205/5749570,I am surprised that no body points out that|| the answer here is misleading. [x]*3 store 3 references like [x|| x|| x] is only right when x is mutable. This does't work for e.g. a=[4]*3|| where after a[0]=5|| a=[5||4||4].,Disagree,No
https://stackoverflow.com/a/240205/5749570,Technically|| it's still correct. [4]*3 is essentially equivalent to x = 4; [x|| x|| x]. It's true|| though|| that this will never cause any problem since 4 is immutable. Also|| your other example isn't really a different case. a = [x]*3; a[0] = 5 won't cause problems even if x is mutable|| since you're not modifying x|| only modifying a. I wouldn't describe my answer as misleading or incorrect - you just can't shoot yourself in the foot if you're dealing with immutable objects. ,Flaw,No
https://stackoverflow.com/a/240205/5749570,@Allanqunzi you are wrong. Do x = 1000; lst = [x]*2; lst[0] is lst[1] -> True. Python does not distinguish between mutable and immutable objects here whatsoever. ,Disagree,No
https://stackoverflow.com/a/240205/5749570,it's kinda late|| but is there a book where i can read about these subtleties of python?,Not A Weakness,No
https://stackoverflow.com/a/240205/5749570,can anyone find documents about the * operator in docs.python.org? i tried but cnanot find any. ,Not A Weakness,No
https://stackoverflow.com/a/240205/5749570,@LeiYang It's listed under Common Sequence Operations ,Not A Weakness,No
https://stackoverflow.com/a/1133255/5749570,How do you define a class attribute that is different for each instance of a class? ,Not A Weakness,No
https://stackoverflow.com/a/1133255/5749570,If it's different for each instance it's not a class attribute. Class attributes are attributes on the CLASS. Hence the name. Hence they are the same for all instances. ,Disagree,No
https://stackoverflow.com/a/1133255/5749570,How do you define an attribute in a class that is different for each instance of a class? (Re-defined for those who could not determine that a person not familiar with Python's naming convenctions might be asking about normal member variables of a class).,Disagree,No
https://stackoverflow.com/a/1133255/5749570,@Kievieli: You ARE talking about normal member variables of a class. :-) You define instance attributes by saying self.attribute = value in any method. For example __init__().,Not A Weakness,No
https://stackoverflow.com/a/1133255/5749570,@Kieveli: Two answers: you can't|| because any thing you define at a class level will be a class attribute|| and any instance that accesses that attribute will access the same class attribute; you can|| /sort of/|| by using propertys -- which are actually class level functions that act like normal attributes but save the attribute in the instance instead of the class (by using self.attribute = value as Lennart said).,Disagree,No
https://stackoverflow.com/a/2612815/5749570,As @Georgy points out correctly in the answer below|| any changes to the new_list values will also change the values in my_list. So actually the copy.deepcopy() method is the only real copy without reference to the original list and it's values. ,Not A Weakness,No
https://stackoverflow.com/a/2612815/5749570,You're right|| it was edited by you|| but posted by @cryo Sorry for the mixup! ,Not A Weakness,No
https://stackoverflow.com/a/2612815/5749570,Which one is fastest?,Not A Weakness,No
https://stackoverflow.com/a/2612815/5749570,I was having the same issue with a list of json (each element of a list was a json) and the only one that worked was new_list = copy.deepcopy(old_list) ; I'm writing this since anyone can encounter the same issue. Thanks! ,Not A Weakness,No
https://stackoverflow.com/a/2612815/5749570,"""+1 for slicing [:] it is a simple and compact syntax and it does make sense to use it every time you need to copy a list and can avoid a deepcopy""",Not A Weakness,No
https://stackoverflow.com/a/2612815/5749570,"""+4 for slicing [:] it is simple|| compact|| faster|| and more powerful: one can copy a slice of a list [start:stop]|| which other methods cannot do.""",Not A Weakness,No
https://stackoverflow.com/a/42773232/5749570,In my case I need to move those 'unwanted' elements into another list. Do you have any new comment about this solution? I also think that it is better to use some deletions instead of duplicate the list.,Not A Weakness,No
https://stackoverflow.com/a/42773232/5749570,This is the right answer if performance is an issue (although same as @Alexey). That said|| the choice of list as a data structure in the first place should be carefully considered since removal from the middle of a list takes linear time in the length of the list. If you don't really need random access to k-th sequential item|| maybe consider OrderedDict?,Not A Weakness,No
https://stackoverflow.com/a/42773232/5749570,@GVelascoh why not create newlist = []|| and then newlist.append(array[i]) just before del array[i]?,Disagree,No
https://stackoverflow.com/a/42773232/5749570,Note that this is likely time inefficient: if list() is a linked list|| the random access is expensive|| if list() is an array|| the deletes are expensive because they require to move all following elements forward. A decent iterator could make things good for the linked list implementation. This could however be space efficient. ,Flaw,No
https://stackoverflow.com/a/42773232/5749570,@CiroSantilli????????????? : The pop(i) operation is still O(n). I'll take storage efficiency over incremental improvements in O(n)|| but I can see why someone might do this differently.,Disagree,No
https://stackoverflow.com/a/20449433/5749570,Is there any other way|| like a function or something so that we dont need to convert to int in 3.x other than doing explicit conversion to int?? ,Not A Weakness,No
https://stackoverflow.com/a/20449433/5749570,@ShreyanMehta eval would work|| but don't go for that unless you have pressing reasons. ,Not A Weakness,No
https://stackoverflow.com/a/20449433/5749570,@thefourtheye at least use ast.literal_eval for that. It does not have the security concerns of eval,Obsolete,Yes
